UG,need_5m_access_period1,need_5m_access_period2,need_5m_access_period3,need_5m_access_period4,need_5m_access_period5
840,1,0,1,1,1
1199,1,0,1,1,1
1206,1,0,0,1,0
1506,0,0,0,1,1
1510,1,0,0,1,1
1515,1,0,1,1,1
1519,1,1,1,1,0
1402,1,0,0,1,1
1404,1,0,0,1,1
1413,0,0,1,1,1
1415,1,0,1,1,1
1423,1,1,1,1,1
907,1,0,1,1,1
912,1,0,0,1,1
913,1,0,0,1,1
1145,1,0,0,1,1
1146,1,0,0,1,1
1148,1,0,0,1,1
1149,1,0,0,1,1
1153,1,0,0,1,1
1274,1,0,0,1,1
1275,1,0,0,1,1
1276,1,0,0,1,1
1278,0,0,1,1,1
1279,1,1,0,1,1
1469,1,0,1,1,1
1470,1,0,1,1,1
549,0,0,0,0,0
828,1,0,0,1,1
833,1,0,1,1,1
834,1,0,1,1,1
851,1,0,0,1,1
809,1,0,0,1,1
816,1,0,1,1,0
821,0,1,1,0,0
852,1,1,1,1,0
861,1,0,0,1,1
863,1,0,1,1,1
873,1,0,0,1,1
874,1,0,0,1,1
876,1,0,0,1,1
881,1,1,0,1,1
1109,1,0,0,1,1
1117,1,0,0,1,1
1118,1,0,0,1,1
1119,1,0,0,1,1
1120,1,0,0,1,1
1121,1,0,0,1,1
1122,1,0,0,1,1
887,1,1,1,1,0
890,1,1,1,1,0
897,0,0,1,1,1
903,1,0,1,1,1
904,1,0,1,1,0
920,1,0,1,1,0
928,0,1,1,1,1
942,1,0,1,1,1
944,1,1,1,1,1
945,1,0,0,1,1
946,1,1,1,1,1
947,1,0,1,1,1
948,1,0,0,1,1
958,1,0,1,1,1
959,0,0,1,1,1
960,0,0,1,1,0
967,0,1,1,1,1
968,1,0,1,1,0
980,1,0,0,1,1
981,1,0,0,1,1
982,1,0,0,1,1
983,1,0,0,1,1
984,1,0,0,1,1
987,1,0,0,1,1
989,1,0,0,1,1
990,1,0,0,1,1
992,1,0,0,1,1
993,1,0,0,1,1
997,1,0,0,1,1
1002,1,0,0,1,1
1014,1,0,1,1,1
1025,1,0,0,1,0
1027,1,0,0,0,0
1031,1,0,0,1,1
1033,1,0,0,1,1
1036,1,0,0,1,1
1042,1,0,0,1,1
1044,1,0,0,1,1
1045,1,0,0,1,1
1046,1,0,0,1,1
1047,1,0,0,1,1
1048,1,0,0,1,1
1049,1,0,0,1,1
1050,1,0,0,1,1
1051,1,0,0,1,1
1052,1,0,0,1,1
1053,1,0,0,1,1
1054,1,0,0,1,1
1055,1,0,0,1,1
1056,1,0,0,1,1
1058,1,0,0,1,1
1068,0,1,1,1,1
1071,0,1,1,1,1
1072,0,1,1,1,1
1074,0,1,1,1,1
1075,0,1,1,1,1
1076,0,0,1,1,1
1077,1,0,0,1,1
1078,0,1,1,1,1
1079,1,0,0,1,1
1080,1,0,0,1,1
1083,1,0,0,1,1
1084,1,0,0,1,1
1087,1,0,0,1,1
1088,1,0,0,1,1
1102,1,0,0,1,1
1123,1,0,0,1,1
1124,1,0,0,1,1
1125,1,0,0,1,1
1127,1,0,0,1,1
1128,1,0,0,1,1
1129,1,0,0,1,1
1130,1,0,0,1,1
1131,1,0,0,1,1
1132,1,0,0,1,1
1133,1,0,0,1,1
1134,1,0,0,1,1
1135,1,0,0,1,1
1137,1,0,0,1,1
1138,1,0,0,1,1
1140,1,0,0,1,1
1141,1,0,0,1,1
1142,1,0,0,1,1
1143,1,0,0,1,1
1144,1,0,0,1,1
1163,1,0,0,1,1
1184,1,0,0,1,1
1185,0,1,1,1,1
1186,1,0,0,1,1
1188,1,1,1,1,0
1190,0,1,1,1,1
1191,1,1,1,1,1
1193,1,1,1,1,0
1197,1,0,0,1,1
1231,1,0,0,1,1
1237,0,1,1,1,1
1248,1,0,1,1,1
1251,1,0,0,1,1
1263,1,0,0,1,1
1284,1,1,1,1,0
1290,1,0,0,1,1
1294,1,0,0,1,1
1314,1,0,1,1,1
1319,1,0,0,1,1
1323,1,0,0,1,1
1326,1,1,1,1,1
1329,1,0,0,1,1
1330,1,0,0,1,1
1331,1,0,0,1,1
1340,1,0,1,1,1
1351,1,1,1,1,1
1354,1,0,1,1,0
1355,1,0,0,1,1
1357,1,1,1,1,0
1363,1,0,0,1,1
1364,1,0,0,1,1
1369,1,0,0,1,1
1376,1,0,0,1,1
1378,0,0,1,1,1
1385,1,1,1,1,1
1386,1,0,1,1,0
1394,1,0,0,1,1
1424,1,1,1,1,0
1427,0,1,1,1,1
1431,1,0,0,1,1
1436,1,0,0,1,1
1437,1,1,1,1,0
1439,0,1,0,0,1
1440,1,0,0,1,1
1441,0,0,1,1,1
1444,1,0,0,1,1
1450,1,1,1,1,0
1454,1,1,1,1,0
1456,1,0,0,1,1
1474,1,1,1,1,1
1480,1,0,0,1,1
1481,0,1,1,1,1
1482,1,0,0,1,1
1483,1,0,0,1,1
1484,0,0,1,1,1
1485,1,0,0,1,1
1486,1,0,0,1,1
1487,0,0,1,1,1
1488,1,0,0,1,1
1499,1,1,1,1,0
1527,1,0,0,1,1
1534,0,1,1,1,1
1538,1,0,0,1,1
1541,1,0,0,1,1
1554,0,0,0,0,0
1555,0,0,0,0,0
1558,0,0,0,0,0
1562,0,0,0,0,0
1564,0,0,0,0,0
1565,0,0,0,0,0
1567,0,0,0,0,0
1568,0,0,0,0,0
1571,0,0,0,0,0
1573,0,0,0,0,0
1574,0,0,0,0,0
1575,0,0,0,0,0
1576,0,0,0,0,0
1577,0,0,0,0,0
1580,0,0,0,0,0
1585,1,1,1,1,1
1586,0,0,0,0,0
1587,0,0,0,0,0
1599,1,1,1,1,0
1600,1,0,0,1,1
1606,1,1,0,1,1
1610,1,0,0,1,1
1611,1,0,0,1,1
1612,1,0,0,1,1
1613,1,0,0,1,1
1614,1,0,0,1,1
1615,1,0,0,1,1
1616,1,0,0,1,1
1620,0,1,1,1,1
1622,1,0,1,1,1
1623,1,0,1,1,1
